timestamp,pod_name,phase,cpu,memory
2025-11-10T21:36:07.677884,func-235-prophet-00002-deployment-5889c77569-82fv6,Running,6m,330Mi
2025-11-10T21:36:07.677884,func-235-prophet-00003-deployment-696b7bc78c-vqcpp,Running,0m,0Mi
2025-11-10T21:36:19.563106,func-235-prophet-00002-deployment-5889c77569-82fv6,Running,4m,333Mi
2025-11-10T21:36:19.563106,func-235-prophet-00003-deployment-696b7bc78c-vqcpp,Running,0m,0Mi
2025-11-10T21:37:11.816414,func-235-prophet-00002-deployment-5889c77569-82fv6,Running,4m,333Mi
2025-11-10T21:37:11.816414,func-235-prophet-00003-deployment-696b7bc78c-vqcpp,Running,12m,308Mi
2025-11-10T21:37:23.941064,func-235-prophet-00003-deployment-696b7bc78c-vqcpp,Running,12m,308Mi
2025-11-10T21:37:51.316222,func-235-prophet-00003-deployment-696b7bc78c-vqcpp,Running,12m,308Mi
2025-11-10T21:38:02.264638,func-235-prophet-00003-deployment-696b7bc78c-vqcpp,Running,23m,308Mi
2025-11-10T21:38:12.872061,func-235-prophet-00003-deployment-696b7bc78c-vqcpp,Running,4m,309Mi
2025-11-10T21:38:25.227060,func-235-prophet-00003-deployment-696b7bc78c-vqcpp,Running,0m,0Mi
2025-11-10T21:39:47.664474,func-235-prophet-00003-deployment-696b7bc78c-vqcpp,Running,4m,309Mi
2025-11-10T21:39:47.664474,func-235-prophet-00004-deployment-5895b6467b-8h9f6,Running,205m,294Mi
2025-11-10T21:39:59.558445,func-235-prophet-00004-deployment-5895b6467b-8h9f6,Running,3m,294Mi
2025-11-10T21:40:27.099997,func-235-prophet-00004-deployment-5895b6467b-8h9f6,Running,3m,294Mi
2025-11-10T21:40:37.758721,func-235-prophet-00004-deployment-5895b6467b-8h9f6,Running,3m,294Mi
2025-11-10T21:42:12.262939,func-235-prophet-00004-deployment-5895b6467b-8h9f6,Running,4m,297Mi
2025-11-10T21:42:23.865598,func-235-prophet-00004-deployment-5895b6467b-8h9f6,Running,4m,297Mi
2025-11-10T21:43:16.490799,func-235-prophet-00004-deployment-5895b6467b-8h9f6,Running,4m,297Mi
2025-11-10T21:44:09.236150,func-235-prophet-00004-deployment-5895b6467b-8h9f6,Running,4m,297Mi
2025-11-10T21:44:20.047582,func-235-prophet-00004-deployment-5895b6467b-8h9f6,Running,3m,297Mi
